currency,withdrawal_fee
MND,1.000000000000000
MONA,0.200000000000000
MTL,1.350000000000000
MUE,0.020000000000000
MUSIC,0.010000000000000
MYST,2.500000000000000
MZC,0.200000000000000
NAV,0.200000000000000
NEO,0.025000000000000
NEOS,0.020000000000000
NET,0.200000000000000
NEU,0.020000000000000
NLG,0.200000000000000
NMR,0.150000000000000
NTRN,0.020000000000000
NXC,13.000000000000000
NXS,0.200000000000000
NXT,2.000000000000000
OC,0.200000000000000
OK,0.200000000000000
OMG,0.350000000000000
OMNI,0.100000000000000
ORB,0.200000000000000
PART,0.100000000000000
PAY,2.000000000000000
PDC,5.000000000000000
PINK,0.200000000000000
PIVX,0.020000000000000
PKB,0.020000000000000
POLY,1.000000000000000
POT,0.002000000000000
POWR,5.000000000000000
PPC,0.020000000000000
PRO,1.000000000000000
PTC,0.002000000000000
PTOY,14.000000000000000
PXI,0.200000000000000
QRL,2.500000000000000
QTUM,0.010000000000000
QWARK,0.100000000000000
RADS,0.200000000000000
RBY,0.020000000000000
RCN,16.000000000000000
RDD,2.000000000000000
REP,0.100000000000000
RISE,0.100000000000000
RLC,3.500000000000000
RVR,0.100000000000000
SAFEX,100.000000000000000
SALT,0.600000000000000
SBD,0.010000000000000
SC,0.100000000000000
SCRT,1.000000000000000
SEQ,0.200000000000000
SHIFT,0.010000000000000
SIB,0.200000000000000
SLG,0.200000000000000
SLING,0.002000000000000
SLR,0.200000000000000
SLS,0.002000000000000
SNGLS,3.500000000000000
SNRG,0.002000000000000
SNT,20.000000000000000
SOON,0.200000000000000
SPHR,0.002000000000000
SPR,0.200000000000000
SPRTS,1.000000000000000
SRN,1.000000000000000
START,0.020000000000000
STEEM,0.010000000000000
STEPS,0.200000000000000
STORJ,3.000000000000000
STRAT,0.200000000000000
STV,0.200000000000000
SWIFT,2.000000000000000
SWING,0.100000000000000
SWT,1.800000000000000
SYNX,0.200000000000000
SYS,0.000200000000000
TES,0.200000000000000
THC,0.200000000000000
TIME,0.200000000000000
TIT,0.200000000000000
TIX,5.000000000000000
TKN,0.400000000000000
TKS,0.100000000000000
TRI,0.000200000000000
TRIG,5.000000000000000
TRK,0.020000000000000
TROLL,0.001000000000000
TRST,7.000000000000000
TRUST,0.020000000000000
TRX,1.000000000000000
TUSD,1.000000000000000
TX,0.020000000000000
UBQ,0.010000000000000
UFO,0.200000000000000
UKG,5.000000000000000
UNB,0.200000000000000
UNIT,2.000000000000000
UNO,0.000200000000000
UP,1.000000000000000
USDT,25.000000000000000
UTC,0.020000000000000
VEE,1.000000000000000
VIA,0.200000000000000
VIB,13.000000000000000
VOX,0.100000000000000
VRC,0.000200000000000
VRM,0.400000000000000
VTC,0.020000000000000
VTR,0.020000000000000
WARP,0.020000000000000
WAVES,0.001000000000000
WAX,1.000000000000000
WINGS,4.000000000000000
XAUR,2.500000000000000
XCO,0.020000000000000
XCP,0.200000000000000
XDN,0.010000000000000
XEL,0.200000000000000
XEM,4.000000000000000
XLM,0.010000000000000
XMG,0.000200000000000
XMR,0.040000000000000
XMY,0.200000000000000
XPY,0.002000000000000
XQN,0.020000000000000
XRP,1.000000000000000
XST,0.020000000000000
XVC,0.002000000000000
XVG,0.200000000000000
XWC,0.200000000000000
XZC,0.020000000000000
ZCL,0.002000000000000
ZEC,0.005000000000000
ZEN,0.002000000000000
ZRX,1.000000000000000
